client_id,month,active_dayz,recharge_dayz
CLI-000001,2026-01-01,10,8
CLI-000001,2026-02-01,10,8
CLI-000001,2026-03-01,9,7
CLI-000001,2026-04-01,11,9
CLI-000001,2026-05-01,8,5
CLI-000001,2026-06-01,13,10
CLI-000003,2026-01-01,11,8
CLI-000003,2026-02-01,7,6
CLI-000003,2026-03-01,14,11
CLI-000003,2026-04-01,13,8
CLI-000003,2026-05-01,10,5
CLI-000003,2026-06-01,11,9
CLI-000004,2026-01-01,15,7
CLI-000004,2026-02-01,21,14
CLI-000004,2026-03-01,19,12
CLI-000004,2026-04-01,21,14
CLI-000004,2026-05-01,19,14
CLI-000004,2026-06-01,12,7
CLI-000005,2026-01-01,6,3
CLI-000005,2026-02-01,3,2
CLI-000005,2026-03-01,6,4
CLI-000005,2026-04-01,10,5
CLI-000005,2026-05-01,4,2
CLI-000005,2026-06-01,6,4
CLI-000006,2026-01-01,9,5
CLI-000006,2026-02-01,3,2
CLI-000006,2026-03-01,5,2
CLI-000006,2026-04-01,5,2
CLI-000006,2026-05-01,8,6
CLI-000006,2026-06-01,6,4
CLI-000007,2026-01-01,10,6
CLI-000007,2026-02-01,11,7
CLI-000007,2026-03-01,10,6
CLI-000007,2026-04-01,16,10
CLI-000007,2026-05-01,10,5
CLI-000007,2026-06-01,15,7
CLI-000008,2026-01-01,10,5
CLI-000008,2026-02-01,9,5
CLI-000008,2026-03-01,11,5
CLI-000008,2026-04-01,5,4
CLI-000008,2026-05-01,8,4
CLI-000008,2026-06-01,14,8
CLI-000009,2026-01-01,10,7
CLI-000009,2026-02-01,9,7
CLI-000009,2026-03-01,10,6
CLI-000009,2026-04-01,12,10
CLI-000009,2026-05-01,8,4
CLI-000009,2026-06-01,9,7
CLI-000010,2026-01-01,17,11
CLI-000010,2026-02-01,17,13
CLI-000010,2026-03-01,17,11
CLI-000010,2026-04-01,14,9
CLI-000010,2026-05-01,14,10
CLI-000010,2026-06-01,14,10
CLI-000011,2026-01-01,12,6
CLI-000011,2026-02-01,15,9
CLI-000011,2026-03-01,16,10
CLI-000011,2026-04-01,12,8
CLI-000011,2026-05-01,21,14
CLI-000011,2026-06-01,14,9
CLI-000013,2026-01-01,12,10
CLI-000013,2026-02-01,16,14
CLI-000013,2026-03-01,15,10
CLI-000013,2026-04-01,8,5
CLI-000013,2026-05-01,5,3
CLI-000013,2026-06-01,9,7
CLI-000015,2026-01-01,21,14
CLI-000015,2026-02-01,18,14
CLI-000015,2026-03-01,15,10
CLI-000015,2026-04-01,18,13
CLI-000015,2026-05-01,19,14
CLI-000015,2026-06-01,19,14
CLI-000016,2026-01-01,10,6
CLI-000016,2026-02-01,9,7
CLI-000016,2026-03-01,8,6
CLI-000016,2026-04-01,5,2
CLI-000016,2026-05-01,8,4
CLI-000016,2026-06-01,7,5
CLI-000017,2026-01-01,10,6
CLI-000017,2026-02-01,14,11
CLI-000017,2026-03-01,16,12
CLI-000017,2026-04-01,15,12
CLI-000017,2026-05-01,15,7
CLI-000017,2026-06-01,12,7
CLI-000018,2026-01-01,16,12
CLI-000018,2026-02-01,18,12
CLI-000018,2026-03-01,16,12
CLI-000018,2026-04-01,18,11
CLI-000018,2026-05-01,20,13
CLI-000018,2026-06-01,14,7
CLI-000020,2026-01-01,20,14
CLI-000020,2026-02-01,15,9
CLI-000020,2026-03-01,12,6
CLI-000020,2026-04-01,13,8
CLI-000020,2026-05-01,12,10
CLI-000020,2026-06-01,14,8
CLI-000021,2026-01-01,7,4
CLI-000021,2026-02-01,8,6
CLI-000021,2026-03-01,3,2
CLI-000021,2026-04-01,9,6
CLI-000021,2026-05-01,6,4
CLI-000021,2026-06-01,7,5
CLI-000022,2026-01-01,21,14
CLI-000022,2026-02-01,17,12
CLI-000022,2026-03-01,18,12
CLI-000022,2026-04-01,18,9
CLI-000022,2026-05-01,21,14
CLI-000022,2026-06-01,21,10
CLI-000024,2026-01-01,7,4
CLI-000024,2026-02-01,9,7
CLI-000024,2026-03-01,7,5
CLI-000024,2026-04-01,13,11
CLI-000024,2026-05-01,11,8
CLI-000024,2026-06-01,9,5
CLI-000026,2026-01-01,12,10
CLI-000026,2026-02-01,15,10
CLI-000026,2026-03-01,17,14
CLI-000026,2026-04-01,11,7
CLI-000026,2026-05-01,12,8
CLI-000026,2026-06-01,12,7
CLI-000028,2026-01-01,7,3
CLI-000028,2026-02-01,8,4
CLI-000028,2026-03-01,10,6
CLI-000028,2026-04-01,6,4
CLI-000028,2026-05-01,11,6
CLI-000028,2026-06-01,12,6
CLI-000029,2026-01-01,9,5
CLI-000029,2026-02-01,15,12
CLI-000029,2026-03-01,15,13
CLI-000029,2026-04-01,13,10
CLI-000029,2026-05-01,12,8
CLI-000029,2026-06-01,9,8
CLI-000030,2026-01-01,15,7
CLI-000030,2026-02-01,14,10
CLI-000030,2026-03-01,17,11
CLI-000030,2026-04-01,18,11
CLI-000030,2026-05-01,17,13
CLI-000030,2026-06-01,16,11
CLI-000031,2026-01-01,12,10
CLI-000031,2026-02-01,13,9
CLI-000031,2026-03-01,14,9
CLI-000031,2026-04-01,14,11
CLI-000031,2026-05-01,15,10
CLI-000031,2026-06-01,17,13
CLI-000032,2026-01-01,11,8
CLI-000032,2026-02-01,10,5
CLI-000032,2026-03-01,16,10
CLI-000032,2026-04-01,17,14
CLI-000032,2026-05-01,20,13
CLI-000032,2026-06-01,13,9
CLI-000033,2026-01-01,19,14
CLI-000033,2026-02-01,12,8
CLI-000033,2026-03-01,16,8
CLI-000033,2026-04-01,10,6
CLI-000033,2026-05-01,15,8
CLI-000033,2026-06-01,16,14
CLI-000034,2026-01-01,12,8
CLI-000034,2026-02-01,10,5
CLI-000034,2026-03-01,10,6
CLI-000034,2026-04-01,8,5
CLI-000034,2026-05-01,12,10
CLI-000034,2026-06-01,11,9
CLI-000035,2026-01-01,19,14
CLI-000035,2026-02-01,11,8
CLI-000035,2026-03-01,14,10
CLI-000035,2026-04-01,8,5
CLI-000035,2026-05-01,12,6
CLI-000035,2026-06-01,14,10
CLI-000036,2026-01-01,11,6
CLI-000036,2026-02-01,9,5
CLI-000036,2026-03-01,12,7
CLI-000036,2026-04-01,12,7
CLI-000036,2026-05-01,13,6
CLI-000036,2026-06-01,11,8
CLI-000037,2026-01-01,15,10
CLI-000037,2026-02-01,14,11
CLI-000037,2026-03-01,18,13
CLI-000037,2026-04-01,19,14
CLI-000037,2026-05-01,19,11
CLI-000037,2026-06-01,15,10
CLI-000038,2026-01-01,11,9
CLI-000038,2026-02-01,9,7
CLI-000038,2026-03-01,11,9
CLI-000038,2026-04-01,8,5
CLI-000038,2026-05-01,9,7
CLI-000038,2026-06-01,9,5
CLI-000040,2026-01-01,12,6
CLI-000040,2026-02-01,7,6
CLI-000040,2026-03-01,9,6
CLI-000040,2026-04-01,3,2
CLI-000040,2026-05-01,13,11
CLI-000040,2026-06-01,7,3
CLI-000041,2026-01-01,10,6
CLI-000041,2026-02-01,10,7
CLI-000041,2026-03-01,7,3
CLI-000041,2026-04-01,12,6
CLI-000041,2026-05-01,11,9
