claim_id,fraud_risk_score,layer1a_verdict,layer1b_verdict,final_tier,flagged_date
CLM-000001,12.9,Green,Clear,Green,2025-10-19
CLM-000002,52.0,Amber,Suspected,Amber,2024-09-12
CLM-000003,44.2,Amber,Clear,Amber,2026-04-20
CLM-000004,44.6,Amber,Clear,Amber,2025-07-05
CLM-000005,23.7,Green,Clear,Green,2026-02-23
CLM-000006,64.8,Amber,Clear,Amber,2024-12-12
CLM-000007,6.6,Green,Clear,Green,2026-05-03
CLM-000008,100.0,Red,Clear,Red,2024-09-13
CLM-000009,87.6,Red,Suspected,Red,2026-03-21
CLM-000010,18.7,Green,Clear,Green,2025-07-28
CLM-000011,21.0,Green,Clear,Green,2026-02-14
CLM-000012,38.9,Amber,Clear,Amber,2024-09-08
CLM-000013,37.7,Amber,Clear,Amber,2025-01-10
CLM-000014,25.6,Green,Clear,Green,2024-11-13
CLM-000015,56.3,Amber,Clear,Amber,2025-01-16
CLM-000016,24.0,Green,Clear,Green,2025-03-26
CLM-000017,25.0,Green,Clear,Green,2025-04-10
CLM-000018,28.7,Amber,Clear,Green,2024-12-01
CLM-000019,31.3,Amber,Clear,Amber,2025-07-28
CLM-000020,42.5,Amber,Clear,Amber,2025-09-10
CLM-000021,30.4,Amber,Clear,Amber,2026-01-03
CLM-000022,22.6,Green,Clear,Green,2025-05-15
CLM-000023,23.2,Green,Clear,Green,2024-08-03
CLM-000024,1.0,Green,Clear,Green,2025-04-03
CLM-000025,28.5,Amber,Clear,Green,2026-01-11
CLM-000026,28.1,Amber,Clear,Green,2025-06-22
CLM-000027,100.0,Red,Clear,Red,2026-01-13
CLM-000028,40.4,Amber,Clear,Amber,2024-07-19
CLM-000029,34.7,Green,Clear,Amber,2025-05-23
CLM-000030,51.1,Amber,Clear,Amber,2024-12-15
CLM-000031,23.5,Amber,Clear,Green,2026-04-28
CLM-000032,21.1,Green,Clear,Green,2025-01-03
CLM-000033,97.2,Red,Clear,Red,2026-02-14
CLM-000034,28.6,Green,Clear,Green,2025-11-23
CLM-000035,24.2,Green,Clear,Green,2024-09-10
CLM-000036,100.0,Red,Clear,Red,2024-11-14
CLM-000037,76.0,Red,Clear,Red,2026-05-27
CLM-000038,26.8,Green,Clear,Green,2024-08-28
CLM-000039,9.2,Green,Clear,Green,2024-08-02
CLM-000040,17.9,Green,Clear,Green,2025-04-12
CLM-000041,38.1,Amber,Clear,Amber,2026-05-28
CLM-000042,8.4,Green,Clear,Green,2024-10-15
CLM-000043,12.4,Green,Clear,Green,2025-10-31
CLM-000044,41.1,Amber,Suspected,Amber,2024-08-24
CLM-000045,9.8,Green,Clear,Green,2024-11-08
CLM-000046,71.3,Amber,Clear,Red,2024-11-23
CLM-000047,26.3,Green,Clear,Green,2026-06-10
CLM-000048,82.3,Red,Clear,Red,2025-11-26
CLM-000049,42.6,Amber,Clear,Amber,2026-06-20
CLM-000050,64.9,Amber,Clear,Amber,2026-01-14
CLM-000051,1.0,Green,Clear,Green,2026-06-20
CLM-000052,34.2,Green,Clear,Amber,2026-03-26
CLM-000053,35.0,Amber,Suspected,Amber,2025-11-05
CLM-000054,26.7,Amber,Clear,Green,2024-10-18
CLM-000055,52.1,Amber,Clear,Amber,2025-05-04
CLM-000056,26.3,Green,Suspected,Green,2025-07-23
CLM-000057,94.8,Red,Clear,Red,2024-10-21
CLM-000058,24.7,Green,Clear,Green,2025-11-15
CLM-000059,27.1,Green,Clear,Green,2025-10-18
CLM-000060,46.4,Amber,Clear,Amber,2024-08-07
CLM-000061,21.9,Green,Clear,Green,2025-11-24
CLM-000062,9.8,Green,Clear,Green,2026-06-11
CLM-000063,24.8,Amber,Clear,Green,2025-12-29
CLM-000064,65.2,Amber,Clear,Amber,2025-05-26
CLM-000065,88.5,Red,Clear,Red,2025-06-25
CLM-000066,32.6,Amber,Clear,Amber,2025-10-30
CLM-000067,25.4,Green,Clear,Green,2025-11-26
CLM-000068,86.1,Red,Clear,Red,2026-02-01
CLM-000069,42.1,Amber,Clear,Amber,2026-05-28
CLM-000070,33.3,Amber,Clear,Amber,2024-10-31
CLM-000071,34.7,Amber,Clear,Amber,2025-09-27
CLM-000072,30.9,Amber,Clear,Amber,2024-07-20
CLM-000073,44.7,Amber,Clear,Amber,2026-05-12
CLM-000074,75.0,Red,Suspected,Red,2024-09-15
CLM-000075,36.8,Amber,Suspected,Amber,2026-02-18
CLM-000076,42.3,Amber,Suspected,Amber,2025-03-10
CLM-000077,30.0,Green,Suspected,Green,2026-03-25
CLM-000078,11.8,Green,Clear,Green,2024-09-21
CLM-000079,36.2,Amber,Clear,Amber,2026-05-19
CLM-000080,33.1,Amber,Clear,Amber,2024-12-15
CLM-000081,12.6,Green,Clear,Green,2026-06-05
CLM-000082,42.7,Amber,Clear,Amber,2024-10-13
CLM-000083,29.7,Amber,Clear,Green,2025-06-19
CLM-000084,16.6,Green,Clear,Green,2026-03-06
CLM-000085,16.4,Green,Clear,Green,2026-05-06
CLM-000086,26.0,Green,Clear,Green,2025-03-16
CLM-000087,22.5,Green,Clear,Green,2025-10-17
CLM-000088,20.5,Green,Clear,Green,2026-03-26
CLM-000089,18.9,Green,Clear,Green,2025-10-09
CLM-000090,26.2,Green,Clear,Green,2026-01-13
CLM-000091,30.7,Green,Clear,Amber,2025-12-02
CLM-000092,4.7,Green,Clear,Green,2026-05-21
CLM-000093,28.9,Green,Clear,Green,2024-08-29
CLM-000094,37.9,Amber,Clear,Amber,2025-04-03
CLM-000095,21.5,Green,Clear,Green,2024-07-30
CLM-000096,31.4,Green,Clear,Amber,2025-10-16
CLM-000097,24.4,Green,Clear,Green,2024-12-09
CLM-000098,30.6,Green,Clear,Amber,2026-01-19
CLM-000099,1.0,Green,Clear,Green,2025-09-27
CLM-000100,2.0,Green,Clear,Green,2025-07-02
CLM-000101,12.8,Green,Clear,Green,2026-01-03
CLM-000102,13.8,Green,Clear,Green,2025-09-02
CLM-000103,6.8,Green,Clear,Green,2024-08-22
CLM-000104,31.6,Amber,Clear,Amber,2024-12-09
CLM-000105,9.4,Green,Clear,Green,2025-03-15
CLM-000106,34.3,Amber,Clear,Amber,2026-03-08
CLM-000107,46.1,Amber,Clear,Amber,2024-11-30
CLM-000108,4.1,Green,Clear,Green,2025-05-26
CLM-000109,36.2,Green,Clear,Amber,2025-02-06
CLM-000110,7.7,Green,Clear,Green,2024-11-13
CLM-000111,60.7,Amber,Clear,Amber,2025-03-12
CLM-000112,11.1,Green,Clear,Green,2025-03-10
CLM-000113,41.5,Amber,Clear,Amber,2024-12-25
CLM-000114,35.6,Amber,Clear,Amber,2025-10-29
CLM-000115,8.8,Green,Clear,Green,2025-03-18
CLM-000116,42.0,Amber,Clear,Amber,2026-06-02
CLM-000117,22.1,Green,Clear,Green,2026-05-12
CLM-000118,38.2,Amber,Clear,Amber,2024-10-14
CLM-000119,100.0,Red,Clear,Red,2026-04-19
CLM-000120,24.0,Green,Clear,Green,2026-04-21
CLM-000121,35.3,Amber,Clear,Amber,2025-06-30
CLM-000122,34.1,Amber,Clear,Amber,2025-01-07
CLM-000123,62.1,Amber,Clear,Amber,2026-04-02
CLM-000124,27.9,Amber,Clear,Green,2024-12-22
CLM-000125,32.1,Amber,Clear,Amber,2024-11-04
CLM-000126,11.9,Green,Clear,Green,2025-02-26
CLM-000127,23.9,Green,Clear,Green,2025-04-29
CLM-000128,1.0,Green,Clear,Green,2025-04-08
CLM-000129,18.2,Green,Clear,Green,2025-09-02
CLM-000130,26.5,Amber,Clear,Green,2026-02-15
CLM-000131,16.8,Green,Clear,Green,2025-05-01
CLM-000132,35.1,Amber,Clear,Amber,2026-01-25
CLM-000133,35.5,Amber,Clear,Amber,2025-03-06
