policy_id,market,product_type,channel,lapse_date,lapse_flag,reason
POL-000004,South Africa,Funeral,Bancassurance,2026-06-20,1,Affordability
POL-000020,South Africa,Life,Tied Advisor,2024-10-30,1,Other
POL-000025,Botswana,Funeral,Bancassurance,2026-06-20,1,Affordability
POL-000032,South Africa,Funeral,Bancassurance,2024-12-23,1,Affordability
POL-000034,South Africa,Investment,Tied Advisor,2025-07-28,1,Affordability
POL-000040,South Africa,Investment,Direct Digital,2025-08-08,1,Dissatisfaction
POL-000043,Namibia,Funeral,Independent Broker,2022-02-28,1,Affordability
POL-000047,Namibia,Investment,Tied Advisor,2026-06-20,1,Affordability
POL-000050,South Africa,Funeral,Independent Broker,2026-06-20,1,Non-payment
POL-000055,South Africa,Investment,Tied Advisor,2025-01-12,1,Affordability
POL-000061,Namibia,Funeral,Bancassurance,2021-10-31,1,Non-payment
POL-000067,Botswana,Life,Independent Broker,2025-09-19,1,Non-payment
POL-000069,Lesotho,Funeral,Direct Digital,2023-04-26,1,Affordability
POL-000074,South Africa,Life,Tied Advisor,2026-06-20,1,Switched provider
POL-000075,Botswana,Life,Bancassurance,2026-05-07,1,Affordability
POL-000078,South Africa,Investment,Bancassurance,2023-04-13,1,Affordability
POL-000079,South Africa,Health,Tied Advisor,2022-09-17,1,Non-payment
POL-000094,South Africa,Funeral,Independent Broker,2023-02-28,1,Switched provider
POL-000095,South Africa,Health,Tied Advisor,2026-06-05,1,Non-payment
POL-000096,Namibia,Life,Tied Advisor,2025-07-28,1,Switched provider
POL-000110,Namibia,Funeral,Tied Advisor,2024-09-23,1,Affordability
POL-000125,South Africa,Funeral,Tied Advisor,2024-07-19,1,Affordability
POL-000129,South Africa,Health,Independent Broker,2025-10-04,1,Dissatisfaction
POL-000130,South Africa,Life,Tied Advisor,2025-02-05,1,Dissatisfaction
POL-000132,South Africa,Health,Bancassurance,2026-06-20,1,Affordability
POL-000133,South Africa,Investment,Tied Advisor,2025-06-10,1,Non-payment
POL-000134,South Africa,Funeral,Tied Advisor,2023-10-25,1,Dissatisfaction
POL-000135,Lesotho,Health,Independent Broker,2026-06-20,1,Affordability
POL-000136,South Africa,Funeral,Tied Advisor,2024-11-16,1,Affordability
POL-000139,South Africa,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000148,South Africa,Health,Tied Advisor,2024-11-05,1,Non-payment
POL-000154,South Africa,Funeral,Independent Broker,2026-06-20,1,Non-payment
POL-000155,South Africa,Funeral,Bancassurance,2025-05-26,1,Switched provider
POL-000156,Namibia,Funeral,Bancassurance,2022-04-28,1,Affordability
POL-000160,South Africa,Funeral,Bancassurance,2023-02-21,1,Dissatisfaction
POL-000162,Namibia,Life,Independent Broker,2023-08-21,1,Switched provider
POL-000165,Lesotho,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000169,Namibia,Life,Tied Advisor,2023-05-30,1,Dissatisfaction
POL-000170,South Africa,Health,Independent Broker,2024-06-06,1,Non-payment
POL-000177,South Africa,Life,Tied Advisor,2026-02-24,1,Affordability
POL-000178,South Africa,Funeral,Independent Broker,2025-06-18,1,Non-payment
POL-000179,South Africa,Life,Independent Broker,2024-08-25,1,Affordability
POL-000182,South Africa,Funeral,Independent Broker,2026-06-20,1,Switched provider
POL-000188,South Africa,Funeral,Direct Digital,2026-06-20,1,Affordability
POL-000196,Lesotho,Funeral,Independent Broker,2026-06-20,1,Affordability
POL-000202,South Africa,Funeral,Tied Advisor,2024-06-22,1,Non-payment
POL-000205,South Africa,Funeral,Bancassurance,2026-01-25,1,Non-payment
POL-000211,Botswana,Funeral,Independent Broker,2026-06-20,1,Non-payment
POL-000212,South Africa,Life,Direct Digital,2025-10-09,1,Non-payment
POL-000214,Namibia,Funeral,Tied Advisor,2022-02-19,1,Switched provider
POL-000218,Lesotho,Funeral,Independent Broker,2025-03-16,1,Non-payment
POL-000226,South Africa,Investment,Independent Broker,2023-07-24,1,Dissatisfaction
POL-000232,Namibia,Life,Direct Digital,2023-12-22,1,Affordability
POL-000233,South Africa,Life,Tied Advisor,2024-07-15,1,Switched provider
POL-000234,South Africa,Health,Tied Advisor,2023-09-05,1,Affordability
POL-000235,Namibia,Health,Direct Digital,2025-06-16,1,Non-payment
POL-000239,South Africa,Investment,Tied Advisor,2023-12-04,1,Other
POL-000240,Lesotho,Life,Tied Advisor,2025-08-14,1,Dissatisfaction
POL-000242,South Africa,Life,Independent Broker,2022-07-29,1,Non-payment
POL-000244,South Africa,Health,Bancassurance,2022-11-04,1,Non-payment
POL-000245,South Africa,Life,Direct Digital,2023-11-29,1,Affordability
POL-000250,South Africa,Life,Tied Advisor,2026-06-20,1,Non-payment
POL-000253,South Africa,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000258,Namibia,Life,Direct Digital,2023-12-11,1,Non-payment
POL-000260,Namibia,Life,Independent Broker,2026-06-20,1,Affordability
POL-000263,Namibia,Funeral,Bancassurance,2024-11-22,1,Dissatisfaction
POL-000269,South Africa,Funeral,Independent Broker,2022-09-06,1,Affordability
POL-000270,Botswana,Funeral,Independent Broker,2025-05-24,1,Non-payment
POL-000272,South Africa,Funeral,Tied Advisor,2024-12-31,1,Affordability
POL-000273,South Africa,Life,Tied Advisor,2022-12-28,1,Dissatisfaction
POL-000277,South Africa,Life,Bancassurance,2026-06-20,1,Affordability
POL-000284,Lesotho,Funeral,Tied Advisor,2025-07-19,1,Non-payment
POL-000285,Namibia,Health,Tied Advisor,2024-06-20,1,Switched provider
POL-000286,Namibia,Health,Independent Broker,2026-06-20,1,Non-payment
POL-000290,Botswana,Life,Independent Broker,2024-08-16,1,Non-payment
POL-000293,South Africa,Funeral,Tied Advisor,2025-08-13,1,Switched provider
POL-000295,South Africa,Funeral,Tied Advisor,2022-09-02,1,Other
POL-000300,Botswana,Life,Independent Broker,2026-06-20,1,Affordability
POL-000306,Botswana,Funeral,Tied Advisor,2025-09-26,1,Non-payment
POL-000308,Lesotho,Funeral,Direct Digital,2022-09-14,1,Non-payment
POL-000313,South Africa,Life,Independent Broker,2026-06-20,1,Affordability
POL-000316,South Africa,Investment,Independent Broker,2026-06-20,1,Non-payment
POL-000326,South Africa,Life,Bancassurance,2023-06-29,1,Dissatisfaction
POL-000331,Lesotho,Funeral,Bancassurance,2025-09-17,1,Switched provider
POL-000337,South Africa,Health,Direct Digital,2026-01-04,1,Switched provider
POL-000340,South Africa,Life,Independent Broker,2026-06-20,1,Affordability
POL-000350,Botswana,Funeral,Independent Broker,2023-09-14,1,Non-payment
POL-000355,South Africa,Funeral,Independent Broker,2024-05-14,1,Other
POL-000359,South Africa,Life,Bancassurance,2024-09-25,1,Non-payment
POL-000361,South Africa,Life,Direct Digital,2025-06-20,1,Other
POL-000363,South Africa,Life,Direct Digital,2023-12-26,1,Non-payment
POL-000366,South Africa,Funeral,Independent Broker,2024-04-08,1,Non-payment
POL-000376,Lesotho,Funeral,Bancassurance,2026-06-20,1,Non-payment
POL-000381,South Africa,Life,Independent Broker,2026-06-20,1,Switched provider
POL-000385,Namibia,Life,Tied Advisor,2023-05-28,1,Affordability
POL-000386,Botswana,Life,Independent Broker,2024-12-02,1,Non-payment
POL-000389,South Africa,Life,Bancassurance,2025-10-29,1,Dissatisfaction
POL-000398,South Africa,Funeral,Tied Advisor,2024-07-14,1,Affordability
POL-000412,South Africa,Funeral,Tied Advisor,2023-05-09,1,Non-payment
POL-000421,South Africa,Health,Direct Digital,2024-01-03,1,Switched provider
POL-000425,South Africa,Life,Independent Broker,2026-04-30,1,Non-payment
POL-000428,South Africa,Funeral,Bancassurance,2023-03-16,1,Non-payment
POL-000440,South Africa,Health,Tied Advisor,2026-01-15,1,Affordability
POL-000443,Lesotho,Health,Tied Advisor,2026-06-17,1,Other
POL-000444,Namibia,Funeral,Independent Broker,2024-06-23,1,Dissatisfaction
POL-000454,Namibia,Health,Direct Digital,2023-08-14,1,Other
POL-000455,South Africa,Investment,Independent Broker,2026-06-20,1,Switched provider
POL-000458,South Africa,Funeral,Tied Advisor,2023-10-30,1,Dissatisfaction
POL-000460,Botswana,Funeral,Direct Digital,2023-05-08,1,Affordability
POL-000465,South Africa,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000469,South Africa,Funeral,Tied Advisor,2025-02-18,1,Affordability
POL-000472,South Africa,Funeral,Independent Broker,2025-02-10,1,Non-payment
POL-000475,Lesotho,Funeral,Direct Digital,2026-02-19,1,Other
POL-000484,South Africa,Health,Independent Broker,2026-06-20,1,Non-payment
POL-000496,South Africa,Funeral,Tied Advisor,2025-10-29,1,Non-payment
POL-000500,Lesotho,Life,Bancassurance,2025-02-24,1,Affordability
POL-000520,South Africa,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000531,South Africa,Funeral,Direct Digital,2024-08-15,1,Switched provider
POL-000535,Lesotho,Life,Independent Broker,2026-06-20,1,Non-payment
POL-000539,Namibia,Health,Tied Advisor,2025-09-14,1,Dissatisfaction
POL-000540,Botswana,Funeral,Independent Broker,2024-07-06,1,Non-payment
POL-000541,South Africa,Life,Tied Advisor,2023-05-11,1,Non-payment
POL-000548,Botswana,Investment,Tied Advisor,2024-07-10,1,Affordability
POL-000553,Lesotho,Investment,Bancassurance,2022-11-23,1,Affordability
POL-000557,South Africa,Life,Independent Broker,2023-12-16,1,Switched provider
POL-000559,Lesotho,Funeral,Tied Advisor,2022-10-21,1,Dissatisfaction
POL-000564,South Africa,Funeral,Bancassurance,2026-06-20,1,Affordability
POL-000570,South Africa,Health,Independent Broker,2026-02-07,1,Non-payment
POL-000575,Namibia,Life,Tied Advisor,2026-06-20,1,Non-payment
POL-000579,South Africa,Life,Independent Broker,2026-06-20,1,Switched provider
POL-000583,South Africa,Funeral,Tied Advisor,2024-03-24,1,Affordability
POL-000586,South Africa,Funeral,Tied Advisor,2023-12-21,1,Affordability
POL-000589,Namibia,Life,Bancassurance,2025-08-06,1,Affordability
POL-000591,South Africa,Life,Bancassurance,2022-12-08,1,Affordability
POL-000596,Lesotho,Funeral,Direct Digital,2023-04-15,1,Affordability
POL-000604,Lesotho,Investment,Bancassurance,2026-06-20,1,Switched provider
POL-000607,South Africa,Health,Tied Advisor,2024-09-04,1,Other
POL-000609,South Africa,Funeral,Tied Advisor,2023-09-22,1,Dissatisfaction
POL-000613,Botswana,Life,Bancassurance,2024-07-13,1,Dissatisfaction
POL-000624,Lesotho,Life,Bancassurance,2026-06-20,1,Non-payment
