lead_id,advisor_id,market,territory,product_interest,stage,created_date,last_update
LEAD-000001,ADV-050,South Africa,Western Cape,Investment,Proposal,2025-10-15,2025-11-26
LEAD-000002,ADV-070,Lesotho,Maseru,Funeral,New,2025-06-05,2025-07-13
LEAD-000003,ADV-155,Lesotho,Berea,Health,Proposal,2025-04-29,2025-06-04
LEAD-000004,ADV-134,South Africa,Western Cape,Health,Closed Lost,2025-05-12,2025-06-24
LEAD-000005,ADV-064,South Africa,KwaZulu-Natal,Health,New,2025-02-18,2025-02-24
LEAD-000006,ADV-067,South Africa,Gauteng,Life,Meeting,2024-11-29,2024-12-31
LEAD-000007,ADV-041,Namibia,Swakopmund,Funeral,New,2025-03-09,2025-04-19
LEAD-000008,ADV-033,Namibia,Windhoek,Life,Contacted,2025-06-16,2025-06-26
LEAD-000009,ADV-100,Lesotho,Maseru,Life,Closed Won,2025-03-01,2025-03-27
LEAD-000010,ADV-122,Namibia,Swakopmund,Funeral,Contacted,2024-08-11,2024-09-11
LEAD-000011,ADV-035,South Africa,Gauteng,Health,Closed Lost,2024-06-20,2024-08-02
LEAD-000012,ADV-135,Botswana,Gaborone,Funeral,New,2024-07-06,2024-07-22
LEAD-000013,ADV-053,South Africa,Western Cape,Life,Contacted,2026-06-06,2026-06-20
LEAD-000014,ADV-028,Namibia,Swakopmund,Health,Meeting,2025-02-12,2025-03-27
LEAD-000015,ADV-003,South Africa,Gauteng,Funeral,New,2025-02-13,2025-03-10
LEAD-000016,ADV-127,South Africa,Eastern Cape,Health,Meeting,2025-09-12,2025-10-25
LEAD-000017,ADV-116,South Africa,Eastern Cape,Funeral,New,2024-12-19,2024-12-31
LEAD-000018,ADV-091,Botswana,Francistown,Life,New,2026-06-05,2026-06-20
LEAD-000019,ADV-068,Lesotho,Berea,Life,Contacted,2026-06-17,2026-06-20
LEAD-000020,ADV-057,Lesotho,Berea,Funeral,Proposal,2025-06-13,2025-07-27
LEAD-000021,ADV-146,South Africa,KwaZulu-Natal,Life,Contacted,2024-08-22,2024-09-22
LEAD-000022,ADV-144,South Africa,KwaZulu-Natal,Health,Contacted,2025-04-30,2025-05-10
LEAD-000023,ADV-066,Botswana,Gaborone,Funeral,New,2024-08-17,2024-09-07
LEAD-000024,ADV-152,South Africa,Gauteng,Funeral,Proposal,2025-06-04,2025-06-05
LEAD-000025,ADV-035,South Africa,Gauteng,Health,Meeting,2025-10-07,2025-10-21
LEAD-000026,ADV-082,South Africa,Eastern Cape,Investment,Meeting,2026-01-27,2026-02-17
LEAD-000027,ADV-058,Lesotho,Maseru,Health,New,2025-07-06,2025-08-11
LEAD-000028,ADV-160,Namibia,Swakopmund,Life,Closed Won,2025-12-17,2025-12-23
