client_id,market,tier,month,engagement_score
CLI-000001,South Africa,Silver,2026-01-01,54.3
CLI-000001,South Africa,Silver,2026-02-01,58.1
CLI-000001,South Africa,Silver,2026-03-01,58.1
CLI-000001,South Africa,Silver,2026-04-01,53.6
CLI-000001,South Africa,Silver,2026-05-01,54.5
CLI-000001,South Africa,Silver,2026-06-01,55.4
CLI-000003,Lesotho,Bronze,2026-01-01,55.6
CLI-000003,Lesotho,Bronze,2026-02-01,57.5
CLI-000003,Lesotho,Bronze,2026-03-01,60.8
CLI-000003,Lesotho,Bronze,2026-04-01,62.4
CLI-000003,Lesotho,Bronze,2026-05-01,53.6
CLI-000003,Lesotho,Bronze,2026-06-01,62.4
CLI-000004,South Africa,Blue,2026-01-01,85.3
CLI-000004,South Africa,Blue,2026-02-01,99.5
CLI-000004,South Africa,Blue,2026-03-01,96.0
CLI-000004,South Africa,Blue,2026-04-01,92.6
CLI-000004,South Africa,Blue,2026-05-01,80.2
CLI-000004,South Africa,Blue,2026-06-01,84.9
CLI-000005,South Africa,Gold,2026-01-01,30.1
CLI-000005,South Africa,Gold,2026-02-01,34.3
CLI-000005,South Africa,Gold,2026-03-01,28.6
CLI-000005,South Africa,Gold,2026-04-01,31.4
CLI-000005,South Africa,Gold,2026-05-01,39.2
CLI-000005,South Africa,Gold,2026-06-01,39.5
CLI-000006,Lesotho,Silver,2026-01-01,38.9
CLI-000006,Lesotho,Silver,2026-02-01,30.6
CLI-000006,Lesotho,Silver,2026-03-01,37.4
CLI-000006,Lesotho,Silver,2026-04-01,27.4
CLI-000006,Lesotho,Silver,2026-05-01,39.7
CLI-000006,Lesotho,Silver,2026-06-01,40.3
CLI-000007,Lesotho,Bronze,2026-01-01,46.8
CLI-000007,Lesotho,Bronze,2026-02-01,72.8
CLI-000007,Lesotho,Bronze,2026-03-01,50.0
CLI-000007,Lesotho,Bronze,2026-04-01,67.7
CLI-000007,Lesotho,Bronze,2026-05-01,60.5
CLI-000007,Lesotho,Bronze,2026-06-01,58.9
CLI-000008,Namibia,Blue,2026-01-01,48.0
CLI-000008,Namibia,Blue,2026-02-01,49.6
CLI-000008,Namibia,Blue,2026-03-01,48.5
CLI-000008,Namibia,Blue,2026-04-01,40.2
CLI-000008,Namibia,Blue,2026-05-01,54.5
CLI-000008,Namibia,Blue,2026-06-01,56.9
CLI-000009,Namibia,Blue,2026-01-01,56.5
CLI-000009,Namibia,Blue,2026-02-01,44.6
CLI-000009,Namibia,Blue,2026-03-01,45.4
CLI-000009,Namibia,Blue,2026-04-01,50.4
CLI-000009,Namibia,Blue,2026-05-01,56.5
CLI-000009,Namibia,Blue,2026-06-01,30.7
CLI-000010,Namibia,Silver,2026-01-01,83.2
CLI-000010,Namibia,Silver,2026-02-01,70.2
CLI-000010,Namibia,Silver,2026-03-01,76.2
CLI-000010,Namibia,Silver,2026-04-01,69.8
CLI-000010,Namibia,Silver,2026-05-01,65.6
CLI-000010,Namibia,Silver,2026-06-01,70.9
CLI-000011,Namibia,Blue,2026-01-01,60.7
CLI-000011,Namibia,Blue,2026-02-01,65.5
CLI-000011,Namibia,Blue,2026-03-01,68.2
CLI-000011,Namibia,Blue,2026-04-01,61.8
CLI-000011,Namibia,Blue,2026-05-01,84.1
CLI-000011,Namibia,Blue,2026-06-01,69.2
CLI-000013,South Africa,Blue,2026-01-01,62.7
CLI-000013,South Africa,Blue,2026-02-01,65.6
CLI-000013,South Africa,Blue,2026-03-01,60.4
CLI-000013,South Africa,Blue,2026-04-01,52.6
CLI-000013,South Africa,Blue,2026-05-01,52.5
CLI-000013,South Africa,Blue,2026-06-01,48.5
CLI-000015,South Africa,Diamond,2026-01-01,96.6
