policy_id,market,product_type,channel,advisor_id,issue_date,premium
POL-000004,South Africa,Funeral,Bancassurance,ADV-028,2025-08-25,250.59
POL-000005,South Africa,Funeral,Tied Advisor,ADV-055,2024-08-15,164.75
POL-000007,South Africa,Funeral,Independent Broker,ADV-048,2024-07-11,75.76
POL-000012,South Africa,Funeral,Direct Digital,ADV-133,2025-07-04,69.53
POL-000015,South Africa,Funeral,Independent Broker,ADV-002,2025-07-27,219.3
POL-000018,South Africa,Funeral,Independent Broker,ADV-046,2025-09-11,215.59
POL-000025,Botswana,Funeral,Bancassurance,ADV-061,2025-11-04,1286.22
POL-000031,Botswana,Health,Bancassurance,ADV-040,2025-07-01,220.34
POL-000033,Lesotho,Funeral,Bancassurance,ADV-002,2024-11-30,1369.42
POL-000039,South Africa,Funeral,Bancassurance,ADV-024,2025-01-19,66.59
POL-000045,South Africa,Funeral,Tied Advisor,ADV-033,2024-08-22,214.77
POL-000046,South Africa,Health,Bancassurance,ADV-078,2025-12-20,115.48
POL-000047,Namibia,Investment,Tied Advisor,ADV-114,2026-05-08,274.41
POL-000050,South Africa,Funeral,Independent Broker,ADV-060,2025-08-17,250.49
POL-000056,Botswana,Funeral,Tied Advisor,ADV-086,2025-02-27,64.72
POL-000057,Botswana,Life,Independent Broker,ADV-105,2025-12-18,141.37
POL-000060,Botswana,Health,Direct Digital,ADV-055,2026-04-25,226.71
POL-000063,South Africa,Health,Independent Broker,ADV-128,2025-04-21,57.93
POL-000065,South Africa,Life,Independent Broker,ADV-090,2024-10-22,115.84
POL-000067,Botswana,Life,Independent Broker,ADV-012,2024-06-21,460.51
POL-000068,South Africa,Funeral,Tied Advisor,ADV-160,2025-01-11,985.59
POL-000074,South Africa,Life,Tied Advisor,ADV-030,2026-02-01,1042.54
POL-000075,Botswana,Life,Bancassurance,ADV-055,2024-11-26,150.85
POL-000077,Botswana,Funeral,Independent Broker,ADV-056,2024-06-29,119.28
POL-000082,Botswana,Funeral,Direct Digital,ADV-115,2024-07-24,192.77
POL-000086,Botswana,Investment,Independent Broker,ADV-150,2024-09-14,441.13
POL-000088,Namibia,Health,Independent Broker,ADV-028,2026-04-04,72.17
POL-000095,South Africa,Health,Tied Advisor,ADV-007,2024-11-12,64.49
POL-000097,South Africa,Funeral,Tied Advisor,ADV-108,2025-11-02,255.44
POL-000099,South Africa,Funeral,Independent Broker,ADV-156,2026-02-15,62.45
POL-000102,Namibia,Funeral,Independent Broker,ADV-057,2025-07-19,70.31
POL-000106,South Africa,Life,Independent Broker,ADV-073,2026-01-18,141.53
POL-000108,South Africa,Investment,Direct Digital,ADV-096,2026-01-08,248.04
POL-000109,South Africa,Funeral,Independent Broker,ADV-034,2024-11-03,455.78
POL-000112,South Africa,Life,Tied Advisor,ADV-045,2025-10-07,397.55
POL-000114,South Africa,Life,Direct Digital,ADV-062,2025-01-09,61.57
POL-000123,Lesotho,Health,Tied Advisor,ADV-101,2026-03-11,127.66
POL-000124,Namibia,Investment,Tied Advisor,ADV-157,2025-08-13,66.25
POL-000127,Botswana,Health,Independent Broker,ADV-153,2025-04-26,252.06
POL-000129,South Africa,Health,Independent Broker,ADV-005,2025-04-22,115.52
POL-000130,South Africa,Life,Tied Advisor,ADV-040,2024-10-13,206.04
POL-000131,South Africa,Funeral,Independent Broker,ADV-037,2024-12-24,2151.58
POL-000132,South Africa,Health,Bancassurance,ADV-094,2026-05-08,133.0
POL-000140,South Africa,Funeral,Bancassurance,ADV-053,2026-04-02,448.73
POL-000145,South Africa,Funeral,Independent Broker,ADV-102,2025-05-18,526.58
POL-000146,Namibia,Health,Direct Digital,ADV-141,2024-07-11,215.86
POL-000152,Botswana,Funeral,Tied Advisor,ADV-115,2025-10-15,127.84
POL-000154,South Africa,Funeral,Independent Broker,ADV-140,2025-01-04,58.24
POL-000155,South Africa,Funeral,Bancassurance,ADV-038,2024-06-29,137.21
POL-000157,Namibia,Investment,Tied Advisor,ADV-004,2026-03-16,127.29
POL-000158,South Africa,Life,Tied Advisor,ADV-023,2026-04-07,2235.89
POL-000159,Lesotho,Life,Independent Broker,ADV-096,2024-10-22,204.12
POL-000161,Botswana,Life,Bancassurance,ADV-095,2025-09-09,209.51
POL-000165,Lesotho,Health,Tied Advisor,ADV-033,2024-12-14,1163.45
POL-000167,Botswana,Life,Independent Broker,ADV-154,2025-11-04,1065.28
POL-000171,South Africa,Health,Tied Advisor,ADV-055,2024-11-24,116.02
POL-000174,South Africa,Funeral,Bancassurance,ADV-045,2026-05-24,61.8
POL-000175,Lesotho,Life,Tied Advisor,ADV-125,2025-11-12,60.59
POL-000182,South Africa,Funeral,Independent Broker,ADV-067,2025-08-26,135.07
POL-000185,Namibia,Funeral,Independent Broker,ADV-044,2024-08-27,262.39
POL-000187,South Africa,Life,Independent Broker,ADV-054,2026-04-01,68.11
POL-000188,South Africa,Funeral,Direct Digital,ADV-160,2025-11-15,69.03
POL-000192,South Africa,Life,Bancassurance,ADV-044,2025-10-03,2545.3
POL-000196,Lesotho,Funeral,Independent Broker,ADV-083,2025-08-01,213.4
POL-000200,Botswana,Funeral,Direct Digital,ADV-138,2026-04-14,226.47
POL-000205,South Africa,Funeral,Bancassurance,ADV-087,2025-07-12,208.11
POL-000206,South Africa,Health,Direct Digital,ADV-062,2025-04-16,979.39
POL-000211,Botswana,Funeral,Independent Broker,ADV-026,2025-05-08,166.46
POL-000219,South Africa,Life,Tied Advisor,ADV-063,2025-10-12,67.12
POL-000224,Lesotho,Health,Independent Broker,ADV-145,2025-02-09,133.19
POL-000227,Botswana,Life,Tied Advisor,ADV-078,2026-03-26,212.67
POL-000229,Lesotho,Funeral,Tied Advisor,ADV-080,2025-03-16,57.85
POL-000231,South Africa,Life,Tied Advisor,ADV-108,2025-09-23,122.69
POL-000240,Lesotho,Life,Tied Advisor,ADV-151,2025-01-17,214.95
POL-000250,South Africa,Life,Tied Advisor,ADV-138,2024-12-07,1088.47
