policy_id,period,premium_due,premium_paid,on_time_flag
POL-000001,2026-01-01,69.45,69.45,1
POL-000001,2026-02-01,69.45,69.45,1
POL-000001,2026-03-01,69.45,69.45,1
POL-000001,2026-04-01,69.45,69.45,1
POL-000001,2026-05-01,69.45,69.45,1
POL-000001,2026-06-01,69.45,69.45,1
POL-000002,2026-01-01,222.94,222.94,1
POL-000002,2026-02-01,222.94,222.94,1
POL-000002,2026-03-01,222.94,222.94,1
POL-000002,2026-04-01,222.94,222.94,1
POL-000002,2026-05-01,222.94,0.0,0
POL-000002,2026-06-01,222.94,222.94,1
POL-000003,2026-01-01,147.75,147.75,1
POL-000003,2026-02-01,147.75,147.75,1
POL-000003,2026-03-01,147.75,147.75,1
POL-000003,2026-04-01,147.75,147.75,1
POL-000003,2026-05-01,147.75,147.75,1
POL-000003,2026-06-01,147.75,0.0,0
POL-000004,2026-01-01,250.59,250.59,1
POL-000004,2026-02-01,250.59,250.59,1
POL-000004,2026-03-01,250.59,250.59,1
POL-000004,2026-04-01,250.59,250.59,1
POL-000004,2026-05-01,250.59,250.59,1
POL-000004,2026-06-01,250.59,250.59,1
POL-000005,2026-01-01,164.75,164.75,1
POL-000005,2026-02-01,164.75,164.75,1
POL-000005,2026-03-01,164.75,164.75,1
POL-000005,2026-04-01,164.75,164.75,1
POL-000005,2026-05-01,164.75,164.75,1
POL-000005,2026-06-01,164.75,164.75,1
POL-000006,2026-01-01,457.73,457.73,1
POL-000006,2026-02-01,457.73,457.73,1
POL-000006,2026-03-01,457.73,457.73,1
POL-000006,2026-04-01,457.73,457.73,1
POL-000006,2026-05-01,457.73,457.73,1
POL-000006,2026-06-01,457.73,457.73,1
POL-000007,2026-01-01,75.76,75.76,1
POL-000007,2026-02-01,75.76,75.76,1
POL-000007,2026-03-01,75.76,75.76,1
POL-000007,2026-04-01,75.76,75.76,1
POL-000007,2026-05-01,75.76,75.76,1
POL-000007,2026-06-01,75.76,75.76,1
POL-000008,2026-01-01,69.0,69.0,1
POL-000008,2026-02-01,69.0,69.0,1
POL-000008,2026-03-01,69.0,69.0,1
POL-000008,2026-04-01,69.0,69.0,1
POL-000008,2026-05-01,69.0,69.0,1
POL-000008,2026-06-01,69.0,69.0,1
POL-000009,2026-01-01,61.23,61.23,1
POL-000009,2026-02-01,61.23,61.23,1
POL-000009,2026-03-01,61.23,61.23,1
POL-000009,2026-04-01,61.23,0.0,0
POL-000009,2026-05-01,61.23,61.23,1
POL-000009,2026-06-01,61.23,61.23,1
POL-000010,2026-01-01,477.62,477.62,1
POL-000010,2026-02-01,477.62,477.62,1
POL-000010,2026-03-01,477.62,477.62,1
POL-000010,2026-04-01,477.62,477.62,1
POL-000010,2026-05-01,477.62,477.62,1
POL-000010,2026-06-01,477.62,477.62,1
POL-000011,2026-01-01,243.01,243.01,1
POL-000011,2026-02-01,243.01,243.01,1
POL-000011,2026-03-01,243.01,243.01,1
POL-000011,2026-04-01,243.01,243.01,1
POL-000011,2026-05-01,243.01,243.01,1
POL-000011,2026-06-01,243.01,243.01,1
POL-000012,2026-01-01,69.53,69.53,1
POL-000012,2026-02-01,69.53,69.53,1
POL-000012,2026-03-01,69.53,69.53,1
POL-000012,2026-04-01,69.53,69.53,1
POL-000012,2026-05-01,69.53,69.53,1
POL-000012,2026-06-01,69.53,69.53,1
POL-000013,2026-01-01,68.29,68.29,1
POL-000013,2026-02-01,68.29,68.29,1
POL-000013,2026-03-01,68.29,68.29,1
POL-000013,2026-04-01,68.29,68.29,1
POL-000013,2026-05-01,68.29,68.29,1
POL-000013,2026-06-01,68.29,68.29,1
POL-000014,2026-01-01,74.33,74.33,1
POL-000014,2026-02-01,74.33,0.0,0
POL-000014,2026-03-01,74.33,74.33,1
POL-000014,2026-04-01,74.33,0.0,0
POL-000014,2026-05-01,74.33,74.33,1
POL-000014,2026-06-01,74.33,74.33,1
POL-000015,2026-01-01,219.3,219.3,1
POL-000015,2026-02-01,219.3,219.3,1
POL-000015,2026-03-01,219.3,219.3,1
POL-000015,2026-04-01,219.3,219.3,1
POL-000015,2026-05-01,219.3,219.3,1
POL-000015,2026-06-01,219.3,219.3,1
POL-000016,2026-01-01,164.55,164.55,1
POL-000016,2026-02-01,164.55,164.55,1
POL-000016,2026-03-01,164.55,164.55,1
POL-000016,2026-04-01,164.55,0.0,0
POL-000016,2026-05-01,164.55,164.55,1
POL-000016,2026-06-01,164.55,164.55,1
POL-000017,2026-01-01,228.43,228.43,1
POL-000017,2026-02-01,228.43,228.43,1
POL-000017,2026-03-01,228.43,228.43,1
POL-000017,2026-04-01,228.43,228.43,1
POL-000017,2026-05-01,228.43,228.43,1
POL-000017,2026-06-01,228.43,228.43,1
POL-000018,2026-01-01,215.59,215.59,1
POL-000018,2026-02-01,215.59,215.59,1
POL-000018,2026-03-01,215.59,215.59,1
POL-000018,2026-04-01,215.59,0.0,0
POL-000018,2026-05-01,215.59,215.59,1
POL-000018,2026-06-01,215.59,215.59,1
POL-000019,2026-01-01,460.19,460.19,1
POL-000019,2026-02-01,460.19,460.19,1
POL-000019,2026-03-01,460.19,460.19,1
POL-000019,2026-04-01,460.19,460.19,1
POL-000019,2026-05-01,460.19,460.19,1
POL-000019,2026-06-01,460.19,460.19,1
POL-000020,2026-01-01,116.16,116.16,1
POL-000020,2026-02-01,116.16,116.16,1
POL-000020,2026-03-01,116.16,0.0,0
POL-000020,2026-04-01,116.16,116.16,1
POL-000020,2026-05-01,116.16,116.16,1
POL-000020,2026-06-01,116.16,116.16,1
POL-000021,2026-01-01,519.74,0.0,0
POL-000021,2026-02-01,519.74,519.74,1
POL-000021,2026-03-01,519.74,519.74,1
POL-000021,2026-04-01,519.74,519.74,1
POL-000021,2026-05-01,519.74,519.74,1
POL-000021,2026-06-01,519.74,519.74,1
POL-000022,2026-01-01,138.73,138.73,1
POL-000022,2026-02-01,138.73,138.73,1
POL-000022,2026-03-01,138.73,138.73,1
POL-000022,2026-04-01,138.73,138.73,1
POL-000022,2026-05-01,138.73,138.73,1
POL-000022,2026-06-01,138.73,138.73,1
POL-000023,2026-01-01,245.89,245.89,1
POL-000023,2026-02-01,245.89,245.89,1
POL-000023,2026-03-01,245.89,245.89,1
POL-000023,2026-04-01,245.89,245.89,1
POL-000023,2026-05-01,245.89,245.89,1
POL-000023,2026-06-01,245.89,245.89,1
POL-000024,2026-01-01,198.21,198.21,1
POL-000024,2026-02-01,198.21,198.21,1
POL-000024,2026-03-01,198.21,198.21,1
POL-000024,2026-04-01,198.21,198.21,1
POL-000024,2026-05-01,198.21,198.21,1
POL-000024,2026-06-01,198.21,198.21,1
POL-000025,2026-01-01,1286.22,1286.22,1
POL-000025,2026-02-01,1286.22,1286.22,1
POL-000025,2026-03-01,1286.22,1286.22,1
POL-000025,2026-04-01,1286.22,1286.22,1
POL-000025,2026-05-01,1286.22,1286.22,1
POL-000025,2026-06-01,1286.22,1286.22,1
POL-000026,2026-01-01,135.31,135.31,1
POL-000026,2026-02-01,135.31,135.31,1
POL-000026,2026-03-01,135.31,135.31,1
POL-000026,2026-04-01,135.31,135.31,1
POL-000026,2026-05-01,135.31,135.31,1
POL-000026,2026-06-01,135.31,135.31,1
POL-000027,2026-01-01,233.7,233.7,1
POL-000027,2026-02-01,233.7,233.7,1
POL-000027,2026-03-01,233.7,233.7,1
POL-000027,2026-04-01,233.7,233.7,1
POL-000027,2026-05-01,233.7,233.7,1
POL-000027,2026-06-01,233.7,233.7,1
POL-000028,2026-01-01,197.33,197.33,1
POL-000028,2026-02-01,197.33,197.33,1
POL-000028,2026-03-01,197.33,0.0,0
POL-000028,2026-04-01,197.33,197.33,1
POL-000028,2026-05-01,197.33,197.33,1
POL-000028,2026-06-01,197.33,197.33,1
POL-000029,2026-01-01,2226.1,2226.1,1
POL-000029,2026-02-01,2226.1,2226.1,1
POL-000029,2026-03-01,2226.1,2226.1,1
POL-000029,2026-04-01,2226.1,2226.1,1
POL-000029,2026-05-01,2226.1,2226.1,1
