client_id,redemption_date,partner,reward_value
CLI-004057,2026-02-27,Takealot,600
CLI-005645,2024-12-25,Virgin Active,50
CLI-001281,2024-10-05,Woolworths,600
CLI-001353,2026-04-15,Virgin Active,250
CLI-005977,2025-05-11,Woolworths,100
CLI-004232,2025-07-30,British Airways,100
CLI-004580,2026-04-08,Takealot,150
CLI-001654,2025-11-29,Virgin Active,400
CLI-003599,2026-02-07,Engen,50
CLI-003261,2024-10-14,Virgin Active,400
CLI-000416,2025-09-09,Woolworths,50
CLI-005567,2025-08-02,British Airways,250
CLI-000892,2024-08-24,Engen,50
CLI-005238,2025-12-07,Takealot,400
CLI-000806,2025-08-13,Takealot,50
CLI-006145,2024-08-26,Engen,600
CLI-001759,2026-01-07,Woolworths,400
CLI-006349,2025-07-05,British Airways,100
CLI-005421,2025-03-05,Woolworths,250
CLI-000272,2026-05-01,British Airways,150
CLI-004723,2025-01-02,Woolworths,250
CLI-004976,2024-07-18,British Airways,400
CLI-005118,2024-08-05,Woolworths,250
CLI-003004,2025-12-16,Takealot,50
CLI-005131,2026-04-21,Virgin Active,400
CLI-001861,2025-03-10,British Airways,50
CLI-001440,2025-04-05,HBO Max,600
CLI-004476,2024-07-18,HBO Max,250
CLI-000163,2025-01-16,Virgin Active,100
CLI-002435,2024-09-11,Takealot,100
CLI-004149,2024-07-28,Virgin Active,600
CLI-006153,2026-01-31,Virgin Active,50
CLI-002250,2026-01-15,HBO Max,100
CLI-000719,2024-07-29,HBO Max,50
CLI-005501,2026-05-29,British Airways,100
CLI-005721,2025-12-26,Woolworths,50
CLI-006113,2026-01-28,Virgin Active,400
CLI-002397,2025-12-02,HBO Max,250
CLI-004465,2024-08-24,Woolworths,400
CLI-001646,2024-12-13,HBO Max,100
CLI-005593,2025-12-18,Takealot,250
CLI-001041,2025-08-31,Takealot,100
CLI-001664,2024-11-22,HBO Max,400
CLI-002317,2025-08-15,HBO Max,400
CLI-005201,2024-11-28,Takealot,100
CLI-006460,2026-06-19,Woolworths,250
CLI-005324,2025-11-08,HBO Max,600
CLI-001742,2026-04-02,Takealot,250
CLI-002260,2024-11-01,Takealot,50
CLI-004488,2026-05-23,Woolworths,50
CLI-002632,2025-03-07,HBO Max,150
CLI-003523,2024-12-26,HBO Max,50
CLI-002582,2025-08-12,Takealot,250
CLI-000235,2024-10-20,Woolworths,100
CLI-004050,2025-06-23,Virgin Active,600
CLI-005662,2025-12-01,British Airways,150
CLI-002032,2025-03-07,Takealot,150
CLI-003502,2025-08-31,British Airways,100
CLI-000927,2024-09-09,Engen,250
CLI-000339,2025-06-05,Woolworths,600
CLI-004845,2025-08-20,Virgin Active,100
CLI-004232,2025-06-07,Takealot,400
CLI-002113,2026-04-20,HBO Max,150
CLI-006448,2024-08-19,Engen,250
CLI-000940,2024-08-27,Virgin Active,400
CLI-005282,2025-04-29,Woolworths,600
CLI-000202,2025-01-08,Takealot,600
CLI-004803,2025-11-16,Woolworths,100
CLI-000927,2025-11-21,Woolworths,150
CLI-005730,2026-05-17,HBO Max,100
CLI-000439,2025-04-10,Takealot,50
CLI-001985,2025-10-15,British Airways,150
CLI-004335,2026-04-07,Engen,250
CLI-000983,2025-07-03,Virgin Active,250
CLI-000963,2024-10-22,Virgin Active,50
CLI-001819,2025-01-17,Engen,600
CLI-001281,2024-07-21,Engen,400
CLI-003332,2025-10-27,Woolworths,150
CLI-000764,2025-12-21,HBO Max,50
CLI-003494,2025-01-05,British Airways,50
CLI-006202,2025-06-27,Takealot,600
CLI-006154,2024-08-10,Takealot,600
CLI-005718,2024-08-12,Woolworths,50
CLI-000656,2025-10-19,HBO Max,600
CLI-000551,2025-10-20,HBO Max,250
CLI-006148,2024-08-15,HBO Max,600
CLI-001545,2025-02-19,Woolworths,400
CLI-001670,2025-07-03,British Airways,600
CLI-000343,2025-09-02,British Airways,100
CLI-005812,2024-12-22,British Airways,50
CLI-004037,2025-12-30,HBO Max,250
CLI-003533,2024-10-25,Engen,100
CLI-005101,2024-10-04,Takealot,400
CLI-002469,2025-02-20,British Airways,250
CLI-001822,2025-10-01,Virgin Active,100
CLI-000766,2026-04-22,HBO Max,250
CLI-005378,2024-10-27,British Airways,250
CLI-002539,2024-10-15,Engen,100
CLI-003570,2026-02-25,Takealot,600
CLI-001051,2024-10-14,British Airways,600
CLI-000031,2024-10-28,British Airways,250
CLI-002180,2025-09-18,Takealot,150
CLI-000526,2025-09-06,Woolworths,100
CLI-001998,2025-09-09,Engen,100
CLI-004472,2025-12-22,British Airways,400
CLI-003630,2024-12-16,Woolworths,50
CLI-004015,2025-10-11,Virgin Active,50
CLI-005462,2024-07-31,Takealot,100
CLI-006133,2025-02-20,Takealot,50
CLI-001846,2025-12-04,British Airways,150
CLI-005456,2025-11-12,HBO Max,400
CLI-000153,2026-02-24,Engen,400
CLI-004850,2025-06-13,Woolworths,100
CLI-005050,2025-01-20,Takealot,600
CLI-003471,2026-03-09,Woolworths,150
CLI-002955,2025-01-08,Takealot,400
CLI-005476,2026-04-05,Virgin Active,100
CLI-000917,2025-08-27,Woolworths,50
CLI-004391,2024-12-24,Woolworths,600
CLI-002795,2024-08-18,British Airways,250
CLI-000835,2025-03-06,Engen,400
CLI-003176,2026-06-15,Engen,150
CLI-000237,2025-05-29,Takealot,150
CLI-003745,2025-02-03,Virgin Active,50
CLI-001657,2025-03-24,British Airways,100
CLI-002193,2025-11-14,Takealot,50
CLI-002660,2026-05-29,Woolworths,100
CLI-000704,2026-05-23,Engen,150
CLI-004315,2026-05-16,Virgin Active,600
CLI-001021,2026-05-28,HBO Max,100
CLI-005180,2025-12-23,Engen,150
CLI-002685,2026-01-06,Takealot,50
CLI-000209,2024-12-27,HBO Max,250
CLI-005534,2026-03-30,HBO Max,100
CLI-000871,2025-08-19,Virgin Active,250
CLI-001877,2025-02-09,HBO Max,250
CLI-005195,2024-09-26,HBO Max,600
CLI-000751,2025-01-17,Virgin Active,50
CLI-001050,2025-03-29,Virgin Active,600
CLI-003730,2025-07-07,HBO Max,400
CLI-005132,2025-11-13,Takealot,150
CLI-005441,2025-07-06,Takealot,100
CLI-001495,2025-04-14,Woolworths,150
CLI-003798,2024-11-24,Engen,150
CLI-001952,2024-12-31,Engen,400
CLI-002632,2025-08-06,Woolworths,600
CLI-002619,2025-11-05,British Airways,150
CLI-005697,2026-03-25,British Airways,50
CLI-005847,2024-09-04,HBO Max,250
CLI-004546,2026-03-02,HBO Max,600
CLI-000691,2026-03-07,Virgin Active,600
CLI-000389,2025-09-14,Engen,600
CLI-000653,2024-12-07,Takealot,250
CLI-003400,2026-04-02,British Airways,600
CLI-001233,2026-02-12,HBO Max,50
CLI-004790,2025-09-20,British Airways,600
CLI-006363,2024-12-19,Woolworths,250
CLI-002835,2024-08-18,British Airways,600
CLI-003138,2024-06-25,Engen,250
CLI-003035,2025-08-10,Virgin Active,50
CLI-005869,2025-08-23,Engen,250
CLI-001202,2024-07-03,Engen,150
CLI-000377,2024-10-08,Virgin Active,600
CLI-001084,2025-03-28,HBO Max,400
CLI-003671,2026-06-02,British Airways,150
CLI-005017,2026-01-24,British Airways,250
CLI-001588,2026-05-05,Takealot,100
CLI-001099,2025-09-25,Engen,400
CLI-001667,2024-10-13,Engen,150
CLI-000492,2025-12-20,Takealot,100
CLI-001511,2025-07-27,HBO Max,100
CLI-005534,2026-01-16,Takealot,600
CLI-005718,2024-10-28,Takealot,600
CLI-003804,2025-05-27,Woolworths,50
CLI-005789,2025-04-26,Engen,600
CLI-000583,2025-10-29,Takealot,150
CLI-002133,2024-12-26,Takealot,50
CLI-002831,2025-06-04,Engen,600
CLI-006418,2025-06-14,British Airways,150
CLI-000041,2024-10-31,Takealot,250
CLI-001757,2025-03-15,HBO Max,400
CLI-002528,2024-08-30,Takealot,250
CLI-000752,2025-02-27,Takealot,600
CLI-000420,2025-07-11,Takealot,100
CLI-004118,2025-11-04,British Airways,100
CLI-005878,2025-08-01,HBO Max,150
CLI-000404,2025-11-10,British Airways,100
CLI-002412,2026-02-03,British Airways,150
CLI-000803,2024-08-25,Takealot,250
CLI-005584,2025-11-29,British Airways,250
CLI-002303,2025-05-05,Takealot,50
CLI-002314,2025-09-29,Takealot,50
CLI-003341,2025-11-28,Engen,400
CLI-005464,2026-04-18,Virgin Active,400
CLI-002787,2025-07-16,British Airways,400
CLI-002015,2025-04-25,Takealot,600
CLI-004393,2024-12-31,Takealot,50
CLI-006355,2024-11-17,Engen,150
CLI-004123,2024-08-15,Takealot,150
CLI-000071,2024-10-03,Engen,400
CLI-003187,2026-04-10,Takealot,50
CLI-003248,2024-08-21,Virgin Active,400
CLI-005484,2024-10-30,HBO Max,400
CLI-005410,2025-05-27,Takealot,250
CLI-003101,2024-08-27,Takealot,100
CLI-002257,2025-03-04,Engen,250
CLI-003448,2025-09-26,British Airways,150
CLI-003210,2024-08-02,British Airways,50
CLI-002201,2026-02-18,Engen,150
CLI-002760,2024-12-10,Engen,50
CLI-005437,2025-06-24,Engen,600
CLI-005906,2026-05-14,Virgin Active,50
CLI-000162,2026-05-11,Woolworths,150
CLI-004932,2026-04-14,HBO Max,400
CLI-003645,2024-10-22,HBO Max,600
CLI-003578,2026-03-01,Takealot,250
CLI-002710,2025-12-03,Woolworths,50
CLI-005490,2025-12-09,Virgin Active,400
CLI-003166,2025-09-01,HBO Max,150
CLI-000569,2024-07-11,Engen,400
CLI-000590,2026-05-13,Woolworths,50
CLI-003028,2025-10-27,HBO Max,250
CLI-002554,2024-08-25,HBO Max,400
CLI-005098,2025-04-08,HBO Max,400
CLI-004368,2025-04-08,Virgin Active,400
CLI-002607,2026-01-13,HBO Max,150
CLI-002558,2024-11-29,Virgin Active,50
CLI-006153,2026-01-01,HBO Max,400
CLI-001241,2025-07-19,Takealot,50
CLI-004072,2025-01-20,Engen,600
CLI-000522,2025-07-24,Engen,400
CLI-001068,2024-08-10,Takealot,150
CLI-000815,2025-07-24,Takealot,50
CLI-003187,2025-10-15,Virgin Active,100
CLI-003920,2024-11-18,Virgin Active,150
CLI-002882,2024-10-31,Takealot,50
CLI-004534,2026-02-01,Engen,150
CLI-000050,2025-01-11,HBO Max,250
CLI-004878,2025-06-11,Takealot,150
CLI-001639,2025-09-25,HBO Max,50
CLI-000984,2025-01-25,British Airways,150
CLI-001144,2025-12-07,HBO Max,400
CLI-004202,2024-11-01,Engen,150
CLI-005324,2025-03-10,Engen,100
CLI-003131,2026-03-19,Takealot,600
CLI-003628,2025-01-26,Takealot,250
CLI-004165,2026-04-04,HBO Max,100
CLI-000768,2025-12-26,HBO Max,100
CLI-006305,2024-09-10,HBO Max,100
CLI-005010,2026-05-05,Virgin Active,400
CLI-003424,2025-10-19,Virgin Active,100
CLI-001557,2024-10-05,Virgin Active,50
CLI-001624,2025-04-26,Woolworths,50
CLI-003334,2025-11-12,Woolworths,100
CLI-001941,2025-08-11,Engen,50
