client_id,from_tier,to_tier,change_date,direction
CLI-005494,Gold,Diamond,2025-02-16,upgrade
CLI-006107,Blue,Bronze,2025-10-27,upgrade
CLI-002686,Gold,Silver,2024-12-09,downgrade
CLI-000291,Diamond,Gold,2025-06-22,downgrade
CLI-005158,Silver,Gold,2025-04-25,upgrade
CLI-005946,Blue,Bronze,2024-10-16,upgrade
CLI-006233,Silver,Gold,2025-04-05,upgrade
CLI-003806,Blue,Blue,2024-10-31,downgrade
CLI-002979,Bronze,Silver,2026-03-14,upgrade
CLI-001979,Bronze,Blue,2025-09-30,downgrade
CLI-000550,Blue,Bronze,2025-04-20,upgrade
CLI-002513,Bronze,Blue,2025-05-12,downgrade
CLI-005274,Gold,Silver,2026-06-18,downgrade
CLI-005857,Bronze,Silver,2025-06-09,upgrade
CLI-001198,Bronze,Blue,2025-08-05,downgrade
CLI-001108,Silver,Gold,2025-07-19,upgrade
CLI-000518,Blue,Bronze,2024-12-27,upgrade
CLI-000933,Blue,Blue,2025-11-10,downgrade
CLI-005745,Bronze,Blue,2024-06-21,downgrade
CLI-003598,Blue,Bronze,2025-01-22,upgrade
CLI-002299,Blue,Bronze,2025-07-02,upgrade
CLI-004009,Blue,Bronze,2025-05-25,upgrade
CLI-001803,Gold,Silver,2024-12-17,downgrade
CLI-002632,Gold,Silver,2025-07-15,downgrade
CLI-005534,Diamond,Diamond,2026-01-19,upgrade
CLI-004188,Silver,Gold,2026-02-08,upgrade
CLI-000916,Gold,Diamond,2025-09-24,upgrade
CLI-000418,Gold,Diamond,2025-11-16,upgrade
CLI-002770,Blue,Bronze,2025-08-31,upgrade
CLI-006012,Bronze,Blue,2025-09-08,downgrade
CLI-002580,Bronze,Silver,2025-01-30,upgrade
CLI-000889,Gold,Diamond,2024-10-26,upgrade
CLI-003386,Silver,Bronze,2024-11-14,downgrade
CLI-004251,Silver,Gold,2024-07-27,upgrade
CLI-004216,Blue,Bronze,2025-01-28,upgrade
CLI-005104,Silver,Gold,2025-08-27,upgrade
CLI-000452,Bronze,Silver,2024-07-12,upgrade
CLI-002297,Diamond,Diamond,2025-05-05,upgrade
CLI-002996,Diamond,Diamond,2024-09-14,upgrade
CLI-005063,Bronze,Silver,2026-04-18,upgrade
CLI-003852,Bronze,Silver,2025-05-15,upgrade
CLI-005978,Blue,Bronze,2024-07-25,upgrade
CLI-005712,Bronze,Silver,2025-09-02,upgrade
CLI-001980,Bronze,Blue,2025-07-14,downgrade
CLI-000178,Gold,Silver,2025-05-21,downgrade
